map,epsilon,episode,checkpoint_effectiveness
map1,0.5,10000,0.2
map1,0.5,9800,0.2
map1,0.5,9600,0.2
map1,0.5,9400,0.2
map1,0.5,9200,0.2
map1,0.5,9000,0.2
map1,0.5,8800,0.2
map1,0.5,8600,0.1
map1,0.5,8400,0.2
map1,0.5,8200,0.2
map1,0.5,8000,0.2
map1,0.5,7800,0.2
map1,0.5,7600,0.2
map1,0.5,7400,0.2
map1,0.5,7200,0.1
map1,0.5,7000,0.1
map1,0.5,6800,0.1
map1,0.5,6600,0.1
map1,0.5,6400,0.1
map1,0.5,6200,0.1
map1,0.5,6000,0.1
map1,0.5,5800,0.1
map1,0.5,5600,0.1
map1,0.5,5400,0.1
map1,0.5,5200,0.1
map1,0.5,5000,0.1
map1,0.5,4800,0.2
map1,0.5,4600,0.2
map1,0.5,4400,0.2
map1,0.5,4200,0.2
map1,0.5,4000,0.2
map1,0.5,3800,0.2
map1,0.5,3600,0.2
map1,0.5,3400,0.2
map1,0.5,3200,0.2
map1,0.5,3000,0.2
map1,0.5,2800,0.2
map1,0.5,2600,0.2
map1,0.5,2400,0.2
map1,0.5,2200,0.2
map1,0.5,2000,0.5
map1,0.5,1800,0.4
map1,0.5,1600,0.4
map1,0.5,1400,0.4
map1,0.5,1200,0.6
map1,0.5,1000,0.6
map1,0.5,800,1.2
map1,0.5,600,1.5
map1,0.5,400,1.2
map1,0.5,200,992.0
map1,0.7,10000,0.0
map1,0.7,9800,0.0
map1,0.7,9600,0.1
map1,0.7,9400,0.1
map1,0.7,9200,0.1
map1,0.7,9000,0.2
map1,0.7,8800,0.3
map1,0.7,8600,0.3
map1,0.7,8400,0.3
map1,0.7,8200,0.3
map1,0.7,8000,0.2
map1,0.7,7800,0.2
map1,0.7,7600,0.2
map1,0.7,7400,0.2
map1,0.7,7200,0.2
map1,0.7,7000,0.2
map1,0.7,6800,0.2
map1,0.7,6600,0.2
map1,0.7,6400,0.2
map1,0.7,6200,0.2
map1,0.7,6000,0.2
map1,0.7,5800,0.2
map1,0.7,5600,0.2
map1,0.7,5400,0.2
map1,0.7,5200,0.1
map1,0.7,5000,0.2
map1,0.7,4800,0.1
map1,0.7,4600,0.2
map1,0.7,4400,0.2
map1,0.7,4200,0.2
map1,0.7,4000,0.3
map1,0.7,3800,0.2
map1,0.7,3600,0.2
map1,0.7,3400,0.0
map1,0.7,3200,0.0
map1,0.7,3000,0.0
map1,0.7,2800,0.0
map1,0.7,2600,0.0
map1,0.7,2400,0.0
map1,0.7,2200,0.1
map1,0.7,2000,0.3
map1,0.7,1800,0.3
map1,0.7,1600,1.3
map1,0.7,1400,0.8
map1,0.7,1200,1.0
map1,0.7,1000,1.4
map1,0.7,800,1.0
map1,0.7,600,1.7
map1,0.7,400,2.1
map1,0.7,200,992.0
map1,0.9,10000,0.0
map1,0.9,9800,0.0
map1,0.9,9600,0.0
map1,0.9,9400,0.1
map1,0.9,9200,0.0
map1,0.9,9000,0.0
map1,0.9,8800,0.0
map1,0.9,8600,0.0
map1,0.9,8400,0.0
map1,0.9,8200,0.0
map1,0.9,8000,0.1
map1,0.9,7800,0.1
map1,0.9,7600,0.2
map1,0.9,7400,0.2
map1,0.9,7200,0.3
map1,0.9,7000,0.3
map1,0.9,6800,0.3
map1,0.9,6600,0.3
map1,0.9,6400,0.3
map1,0.9,6200,0.3
map1,0.9,6000,0.4
map1,0.9,5800,0.2
map1,0.9,5600,0.2
map1,0.9,5400,0.4
map1,0.9,5200,0.2
map1,0.9,5000,0.2
map1,0.9,4800,0.2
map1,0.9,4600,0.1
map1,0.9,4400,0.6
map1,0.9,4200,0.0
map1,0.9,4000,0.0
map1,0.9,3800,0.4
map1,0.9,3600,0.5
map1,0.9,3400,0.6
map1,0.9,3200,0.2
map1,0.9,3000,0.4
map1,0.9,2800,0.8
map1,0.9,2600,0.5
map1,0.9,2400,0.7
map1,0.9,2200,1.1
map1,0.9,2000,1.0
map1,0.9,1800,1.2
map1,0.9,1600,0.7
map1,0.9,1400,0.7
map1,0.9,1200,1.3
map1,0.9,1000,3.1
map1,0.9,800,2.5
map1,0.9,600,5.1
map1,0.9,400,3.6
map1,0.9,200,992.0
